Date,Country,Cumulative number of case(s),Number of deaths,Number recovered,type
3/17/2003,Germany,1,0,0,sars
3/17/2003,Canada,8,2,0,sars
3/17/2003,Singapore,20,0,0,sars
3/17/2003,"Hong Kong SAR, China",95,1,0,sars
3/17/2003,Switzerland,2,0,0,sars
3/17/2003,Thailand,1,0,0,sars
3/17/2003,Viet Nam,40,1,0,sars
3/18/2003,Germany,2,0,0,sars
3/18/2003,Canada,8,2,0,sars
3/18/2003,China,0,0,0,sars
3/18/2003,Singapore,23,0,0,sars
3/18/2003,"Hong Kong SAR, China",123,1,0,sars
3/18/2003,"Taiwan, China",3,0,0,sars
3/18/2003,Thailand,1,0,0,sars
3/18/2003,Viet Nam,57,1,0,sars
3/18/2003,Slovenia,1,0,0,sars
3/18/2003,United Kingdom,1,0,0,sars
3/19/2003,Canada,8,2,0,sars
3/19/2003,China,0,0,0,sars
3/19/2003,Germany,1,0,0,sars
3/19/2003,"Hong Kong SAR, China",150,5,0,sars
3/19/2003,Singapore,31,0,0,sars
3/19/2003,Slovenia,1,0,0,sars
3/19/2003,Spain,1,0,0,sars
3/19/2003,"Taiwan, China",3,0,0,sars
3/19/2003,Thailand,1,0,0,sars
3/19/2003,United Kingdom,1,0,0,sars
3/19/2003,United States,11,0,0,sars
3/19/2003,Viet Nam,56,2,0,sars
3/20/2003,Canada,9,2,0,sars
3/20/2003,China,0,0,0,sars
3/20/2003,Germany,1,0,0,sars
3/20/2003,"Hong Kong SAR, China",173,6,0,sars
3/20/2003,Singapore,34,0,0,sars
3/20/2003,Slovenia,1,0,0,sars
3/20/2003,Spain,1,0,0,sars
3/20/2003,Switzerland,7,0,0,sars
3/20/2003,"Taiwan, China",4,0,0,sars
3/20/2003,Thailand,1,0,0,sars
3/20/2003,United Kingdom,2,0,0,sars
3/20/2003,United States,11,0,0,sars
3/20/2003,Viet Nam,62,2,0,sars
3/21/2003,Canada,9,2,0,sars
3/21/2003,China,0,0,0,sars
3/21/2003,Germany,1,0,0,sars
3/21/2003,"Hong Kong SAR, China",203,6,0,sars
3/21/2003,Italy,1,0,0,sars
3/21/2003,Republic of Ireland,1,0,0,sars
3/21/2003,Singapore,39,0,0,sars
3/21/2003,Slovenia,1,0,0,sars
3/21/2003,Spain,1,0,0,sars
3/21/2003,Switzerland,7,0,0,sars
3/21/2003,"Taiwan, China",6,0,0,sars
3/21/2003,Thailand,4,0,0,sars
3/21/2003,United Kingdom,2,0,0,sars
3/21/2003,United States,13,0,0,sars
3/21/2003,Viet Nam,62,2,0,sars
3/22/2003,Canada,9,2,0,sars
3/22/2003,China,0,0,0,sars
3/22/2003,Germany,2,0,0,sars
3/22/2003,"Hong Kong SAR, China",222,7,0,sars
